jackknife-constrained,"[0.01, 0.0, 0.49, 0.5]",bottle,False,True,0.0001,0.00025,0.01,9.451778020485653e-19,1.8933164642399086e-05,1.3911903253572853e-05,,13.934343617156477,1029.6224461123395,4.219091538280178e-34,6.285816697422991e-08,2.53417078746038e-08
jackknife-constrained,"[0.01, 0.0, 0.49, 0.5]",bottle,False,False,0.0001,0.00025,0.01,9.451778020485653e-19,0.00011026458594294182,0.00023378019294685945,,51.0703763490835,454999.9928713497,4.219091538280178e-34,3.005295806668564e-06,1.7903252386163507e-05
jackknife-constrained,"[0.01, 0.0, 0.49, 0.5]",bottle,True,True,0.0001,0.00025,0.01,6.582540099493201e-19,1.89349809035268e-05,1.3880804145792722e-05,,13.942102093086511,1030.606082627368,1.5748455033894904e-34,6.290040328231786e-08,2.527100693992352e-08
jackknife-constrained,"[0.01, 0.0, 0.49, 0.5]",bottle,True,False,0.0001,0.00025,0.01,6.582540099493201e-19,7.360717187493922e-05,0.00013747090899963177,,30.244546792837273,157542.88341190253,1.5748455033894904e-34,1.2382164537763372e-06,5.962622122686066e-06
jackknife,"[0.01, 0.0, 0.49, 0.5]",bottle,False,True,0.0001,0.00025,0.01,9.451778020485653e-19,1.8932090846948763e-05,1.3732862509067182e-05,,13.933480581736147,1044.3759541045483,4.219091538280178e-34,6.28775111938965e-08,2.532837006176487e-08
jackknife,"[0.01, 0.0, 0.49, 0.5]",bottle,False,False,0.0001,0.00025,0.01,9.451778020485653e-19,0.27710619920316437,0.32477058105357015,,7225796.327670117,23680322.805957243,4.219091538280178e-34,0.1549346406784842,0.23492832735017224
jackknife,"[0.01, 0.0, 0.49, 0.5]",bottle,True,True,0.0001,0.00025,0.01,6.582540099493201e-19,1.8932490607369496e-05,1.373287728021137e-05,,13.935095216633865,1044.2877585260699,1.5748455033894904e-34,6.288570174436673e-08,2.5325432926275578e-08
jackknife,"[0.01, 0.0, 0.49, 0.5]",bottle,True,False,0.0001,0.00025,0.01,6.582540099493201e-19,0.00032958348448564604,0.00033256134238262316,,7176.087420092619,3878.44418830612,1.5748455033894904e-34,1.1946085485326043e-05,1.5445792457604625e-05
lin,"[0.01, 0.0, 0.49, 0.5]",bottle,False,True,0.0001,0.00025,0.01,9.451778020485653e-19,1.8932031751026993e-05,1.3732116351450604e-05,,13.93149171786183,1042.8219148947705,4.219091538280178e-34,6.288183452031369e-08,2.5325350191905005e-08
lin,"[0.01, 0.0, 0.49, 0.5]",bottle,False,False,0.0001,0.00025,0.01,9.451778020485653e-19,4.2173488898630894e-05,7.233902762750419e-05,,22.48636590835044,108775.09543717117,4.219091538280178e-34,2.2868690454881905e-07,1.0616164677174386e-06
lin,"[0.01, 0.0, 0.49, 0.5]",bottle,True,True,0.0001,0.00025,0.01,6.582540099493201e-19,1.8932032259714527e-05,1.3732113894609091e-05,,13.936123179186257,1042.372144469418,1.5748455033894904e-34,6.288183914056617e-08,2.532531985598801e-08
lin,"[0.01, 0.0, 0.49, 0.5]",bottle,True,False,0.0001,0.00025,0.01,6.582540099493201e-19,3.4632095275704186e-05,6.20442945311008e-05,,17.836131226708975,68412.62306530178,1.5748455033894904e-34,2.326266395932663e-07,1.0363455344205967e-06
loglin,"[0.01, 0.0, 0.49, 0.5]",bottle,False,True,0.0001,0.00025,0.01,9.451778020485653e-19,1.893203219191702e-05,1.3732407218025657e-05,,13.933363144732004,1048.2210017163181,4.219091538280178e-34,6.288183522908204e-08,2.5325317761377027e-08
loglin,"[0.01, 0.0, 0.49, 0.5]",bottle,False,False,0.0001,0.00025,0.01,9.451778020485653e-19,1.9021759056287107e-05,1.3761075510394916e-05,,13.156080025927325,1003.6349311379402,4.219091538280178e-34,6.384282891347769e-08,2.4968238016429983e-08
loglin,"[0.01, 0.0, 0.49, 0.5]",bottle,True,True,0.0001,0.00025,0.01,6.582540099493201e-19,1.893203216702469e-05,1.3732393320130368e-05,,13.92938313094015,1048.0038889356251,1.5748455033894904e-34,6.288183591302617e-08,2.5325316905112612e-08
loglin,"[0.01, 0.0, 0.49, 0.5]",bottle,True,False,0.0001,0.00025,0.01,6.582540099493201e-19,1.8986864372268447e-05,1.3754479746309686e-05,,13.140730787243777,1005.0322945065335,1.5748455033894904e-34,6.34862765329557e-08,2.5110966555230605e-08
project,"[0.01, 0.0, 0.49, 0.5]",bottle,False,True,0.0001,0.00025,0.01,9.451778020485653e-19,1.893203225759623e-05,1.3732182880103637e-05,,13.931420849978732,1045.0596119174636,4.219091538280178e-34,6.288183502022853e-08,2.5325329948116366e-08
project,"[0.01, 0.0, 0.49, 0.5]",bottle,False,False,0.0001,0.00025,0.01,9.451778020485653e-19,1.8932034368636136e-05,1.3732161400266355e-05,,13.873329863487024,1044.5388372344603,4.219091538280178e-34,6.288182458524103e-08,2.532533115389431e-08
project,"[0.01, 0.0, 0.49, 0.5]",bottle,True,True,0.0001,0.00025,0.01,6.582540099493201e-19,1.893203241370272e-05,1.3732183002984165e-05,,13.931420789741939,1045.059583230614,1.5748455033894904e-34,6.288183830525917e-08,2.532532266408437e-08
project,"[0.01, 0.0, 0.49, 0.5]",bottle,True,False,0.0001,0.00025,0.01,6.582540099493201e-19,1.8932038668436743e-05,1.3732164995183574e-05,,13.873328503965865,1044.5380247142173,1.5748455033894904e-34,6.288191460156992e-08,2.5325119426038056e-08
